分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
生活風格,核心逆齡 節拍超慢跑：徒手慢養好肌力，幫你去油肚、解疼痛、降三高、增加骨密度與代謝力，抗老化擺脫肌少症！,https://www.books.com.tw/img/001/092/29/0010922999.jpg,徐棟英,境好出版,2022/05/05,優惠價：79折 300元,"★1,000多位學員核心有力真實見證！★
免輔具、不受場地限制「徒手練核心」x不傷膝蓋的「節拍超慢跑」
降血脂血糖、睡得好、體力佳、改善行動力，
預防肌少症、癌症病友都能練，還可延緩失智！
【上班族...more",https://www.books.com.tw/products/0010922999?loc=P_0005_001,"['血壓的祕密：經脈醫學科學化天才醫師、經脈血壓計世界專利發明人郭育誠，透過血壓量測，取得十二經脈資訊，達成遠距醫療診斷與日常保健', '教室裡有一頭大象：思考、思考、講道理【哲學教授帶孩子從小養成思辨素養】', '療癒的飲食與斷食：新時代的個人營養學', '全方位理財的第一堂課：你一生必學的五大財務規畫', '螺絲愈來愈鬆：從政客、名流和小人物，記錄當代美國走向內在瓦解與重建的心靈史', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '增肌×減脂·科學化飲食全書：5原則×5步驟，打造個人化菜單，有效突破健身撞牆期', '《紅布朗》藍莓乾(150g/罐)', '【統一生機】淨暢乳酸菌PLUS雙寡糖 (20包入)', '[MUJI無印良品]鉛筆HB.2入', '[MUJI無印良品]自由換芯滑順膠墨筆芯/紅0.5mm', '品饌東亞：食物研究中的權力滋味、醫學食補與知識傳說', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '最強超慢跑法', '變化中的世界秩序：橋水基金應對國家興衰的原則', '孫主任的經濟筆記：景氣預測權威帶你輕鬆看懂總經趨勢， 從貿易戰、科技戰、疫後商機、經營挑戰到金融投資一次掌握', '兒子使用說明書：在你放棄和兒子溝通之前，請先看腦科學專家怎麼說', '一個操盤手的虧損自白：長銷30年的獲利經典', '《劉一手》榕樹下黃金條豆干(100g/包)', '【徒手健身】肌群訓練X解剖全書：150種訓練項目及運動機能解剖分析； 無須專業器材，就地鍛鍊零藉口，強力續航更持久!']"
生活風格,芳療天后Gina給你 情緒專科精油調香全書：一次弄懂精油調香的核心法則！解決120種人際、工作與家庭困境,https://www.books.com.tw/img/001/092/58/0010925870.jpg,許怡蘭,原點,2022/06/06,優惠價：79折 356元,"芳療天后Ｇina教你解決自我困境的
情緒精油調香術
 
原理+技巧+實作一次給足
 
—196種精油—
香調分類＋療效屬性＋氣味強度＋入手難度＋安全等級
完全提供！
 
▌精油調香小學堂—初學者必修！...more",https://www.books.com.tw/products/0010925870?loc=P_0005_002,"['植物芬芳的日常異想：一棵樹的氣味光景(限量贈品「拾心設計|天然香氣風味輪.香氣海報」)', '最新植物油效用指南：芳療複方、手工皂、補充營養必備的99種天然油脂!', '歡迎光臨 肯園精油新手村：20種首選精油調出80種對症配方，全方位療身也療心(附贈：新手入村優惠折扣碼)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '奧地利奶奶給孩子的居家芳療小藥鋪：54支精油、13支純露、28支植物油、27種藥草，超過200種配方，從兒童到青少年感受自然全方位的身心靈照護智慧。', '占星芳療：獻給女巫的精油魔法調香術', '文山手作皂─淨身艾草_洗滌身心 淨身除穢(所有膚質適用)', '療癒之島：在60種森林香氣裡，聞見台灣的力量', '能量療癒芳香療法：英國IFA前教育主席用精油搭配水晶、脈輪、色彩療法協助你療癒身心X清理淨化X釋放壓力', '芳療藥師的對症精油處方：125種常備精油與100種天然精油處方，照護你和孩子的健康', '擁抱你的內在家庭：運用IFS，重新愛你的內在人格，療癒過去受的傷', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '加速燃脂瘦身的芳香療法 ：運用7支精油和63種配方，讓瘦身效果大躍進，消除腰部與大腿的頑固脂肪!', '【品綠】有機枸杞──200g/袋', '圖解巴赫花精：解析創傷、釋放壓力，療癒心靈與情的最佳解方', '療癒心靈的芳香療法：IFPA創辦人Gabriel Mojay解讀你情緒的根源，用精油清除內心的負能量(經典重譯版)', '療癒的飲食與斷食：新時代的個人營養學', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '香氣讀心術─香氣夢境解析與療癒人心的技術', '全方位理財的第一堂課：你一生必學的五大財務規畫']"
生活風格,郭婞淳：舉重若輕的婞念（親簽版）,https://www.books.com.tw/img/001/092/27/0010922773.jpg,"郭婞淳,葉士弘",天下文化,2022/04/29,優惠價：79折 316元,"奧運金牌郭婞淳第一本書淬鍊出舉重與人生相通之道
我舉的不只是重量更是希望

每個曾經歷的時刻，無論是成功或失敗
都在積累實力，更是修練人生

★特別收錄郭婞淳珍藏照片
「用身體的協調...more",https://www.books.com.tw/products/0010922773?loc=P_0005_003,"['郭婞淳：舉重若輕的婞念', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '麥吉爾腰背修復手冊：脊椎生物力學權威，從評估成因，到運動方法，帶你找回核心的力量，永遠脫離背痛', '其實，你不是你以為的自己：療癒成長的創傷，還原靈性的美好', '增肌×減脂·科學化飲食全書：5原則×5步驟，打造個人化菜單，有效突破健身撞牆期', '媽媽的每一天：高木直子陪你一起慢慢長大(首刷高木直子簽名祝福限量印刷扉頁)', '別人怎麼對你，都因為你說的話', '不敗學習力：學霸都在用的10大聰明讀書法', '夢想前場：李洋【博客來獨家限量書衣版】', '鋼鐵人馬斯克(最新增訂版)：從特斯拉到太空探索，大夢想家如何創造驚奇的未來', '成為溫美玉(親簽版)：從偏鄉女孩到資深良師，30年教學心法與人生智慧 溫美玉融合教學與人生體悟高峰之作', '天才的人間力，鈴木一朗：51則超越野球的人生智慧', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '偽魚販指南', '被討厭的勇氣：自我啟發之父「阿德勒」的教導', '大谷翔平：天才二刀流挑戰不可能的傳奇全紀錄【投打雙封面設計+限量「大谷旋風」書衣海報特典版】', '底層邏輯：看清這個世界的底牌', '灰階思考', '柯比•布萊恩用籃球挑戰人生：從童年到退休，超越極限和成就團隊的24種態度(隨書附贈書衣海報)']"
生活風格,勇者系列紀念設計集DX,https://www.books.com.tw/img/001/092/50/0010925001.jpg,株式會社SUNRISE,楓樹林出版社,2022/05/24,優惠價：79折 474元,"～機器人經典動畫30週年紀念集黃金回歸～
勇於挑戰龐大邪惡勢力的宏偉英姿，
一同回顧與少年們並肩作戰的勇者發展歷程！！
60、70年代人的童年經典！本書是以1990年首播的動畫《勇者艾克斯凱撒》為開...more",https://www.books.com.tw/products/0010925001?loc=P_0005_004,"['SD鋼彈資料設定集Mark─Ⅱ', '洛夫克拉夫特傑作集：星之彩(隨書附贈原畫精緻酷卡)', '女神裝置模型精選集', '機動戰士鋼彈0083 REBELLION (16)', '五星物語(14)', 'ONE PIECE航海王 102 (首刷限定版)', '[MUJI無印良品]鋁製S掛鉤/中/2入', '守護者【博客來獨家限量：雙英雄&羅夏墨跡測驗原畫三張海報組】', 'ROBOT魂大全~機器人模型不滅的本質~', '不准畫太好：人氣YouTuber的4大繪圖障礙破解術', '【泰山】純水 (700ml X 20瓶/箱)', '韓國名師的光與顏色繪畫指導課', '機動戰士鋼彈外傳 THE BLUE DESTINY (9)', '魔法少年賈修 完全版 5 (首刷附錄版)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '變大了!加油吧同期醬 1 (特裝版)', 'ROBOT魂〈SIDE MS〉機動戰士鋼彈ver.A.N.I.M.E.大全', '蘇聯超級軍武 戰略武器篇', '妖怪大圖鑑(精裝)(日本國寶大師，鬼太郎作者，妖怪博士水木茂首次授權全彩圖鑑)', '亞爾斯蘭戰記 16']"
生活風格,柴友必備！跟柴柴心意相通的「柴犬使用手冊」：從相處與飼養知識、柴柴怪癖到有趣日常，最療癒的萌犬指南（獨家附贈：全彩「柴犬一生萌」保證書）,https://www.books.com.tw/img/001/092/45/0010924546.jpg,影山直美,一起來出版,2022/05/25,優惠價：79折 277元,"與柴同行的每一天，都有新的發現！
＼一本與柴犬愉快相處的要點說明書／
 
★獨家附贈：專屬「柴犬一生萌」保證書，全彩印刷
★最受歡迎柴犬作家，最療癒續作！
 
只要盯著柴...more",https://www.books.com.tw/products/0010924546?loc=P_0005_005,"['開始吧!與柴犬一起生活：完整詳解柴犬的飼育方法與行為教育', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '《聖祖貢糖》原味貢糖(12入/包)', '柴犬的調教與飼養法(暢銷版)', '狗狗想要說什麼─超可愛!汪星人肢體語言超圖解', '逃離吧!腳就是用來跑的(獨家加贈限量解憂便利貼)', '療癒的飲食與斷食：新時代的個人營養學', '【義大利MILMIL】甜杏仁滋養修護洗髮精買2送1限量組(乾燥適用)', '守護者【博客來獨家限量：雙英雄&羅夏墨跡測驗原畫三張海報組】', '[星巴克]酸奶洋蔥爆米花', 'SHIBANBAN：微笑柴犬的調皮日常', '咒術迴戰 19', '【NU4PET 陪心寵糧】抑菌潔膚濕巾(80抽/包)', '魔法森林(《秘密花園》第二集，中文版獨家附贈32頁練習本)', '【安星】醫療級3D立體口罩 兒童用 Q柴50入盒裝 XS / S (MIT台灣設計製造) Q柴S', '狗狗大聯盟：柴犬小學堂', '結果還是做不到', '[MUJI 無印良品]棉棒/200支', '博物館與它的產地']"
生活風格,增肌×減脂·科學化飲食全書：5原則×5步驟，打造個人化菜單，有效突破健身撞牆期,https://www.books.com.tw/img/001/092/26/0010922602.jpg,"麥克．伊斯拉特,梅麗莎．戴維斯,珍．凱斯,詹姆斯．霍夫曼",采實文化,2022/04/28,優惠價：79折 435元,"──四大頂尖營養學博士、運動生理專家聯手──
6週有效增肌減脂、突破健身撞牆期、運動表現大躍進！
要練壯就得先吃胖？戒油、戒糖、戒碳水瘦得更快？
多吃蛋白質就能長肌肉？運動完馬上進食更容...more",https://www.books.com.tw/products/0010922602?loc=P_0005_006,"['燃：最新研究，揭開身體究竟如何燃燒卡路里、減肥、保持健康!', '好教練的養成之道：從如何指導、安排課表到打造成功職涯，健身教練都該懂的105條關鍵守則', '肌力訓練課程設計', '美國第一健身強人，給女生的科學化鍛鍊全書：重訓×飲食，12週有效訓練，女生也能練出精實肌肉', '【徒手健身】肌群訓練X解剖全書：150種訓練項目及運動機能解剖分析； 無須專業器材，就地鍛鍊零藉口，強力續航更持久!', '美國第一健身強人，科學化鍛鍊全書：重訓×飲食，12週有效訓練，突破身型、練出精實肌肉', '麥吉爾腰背修復手冊：脊椎生物力學權威，從評估成因，到運動方法，帶你找回核心的力量，永遠脫離背痛', '怪獸訓練肌力及體能訓練手冊', '郭婞淳：舉重若輕的婞念(親簽版)', '知識複利：將內容變現，打造專家型個人品牌的策略', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '最強健身教練養成聖經', '底層邏輯：看清這個世界的底牌', '原子習慣：細微改變帶來巨大成就的實證法則', '自組ETF，讓我股利翻倍的存股法：忙碌理科工程師打造屬於自己的ETF，月領4萬被動收入', '臀肌研究所：鍛鍊人體最大發力引擎，舉更重、跳更高、衝更快，預防傷害、打造翹臀的訓練全書', '【The Chala】裸食燕麥脆片─ 巧克力', '丹約翰的撞牆期訓練心法：10個關鍵問題與5大原則，傳奇肌力體能教練教你重新審視訓練方法、課表、飲食與心態，幫助你突破停滯、最大化訓練成效', '六個說謊的大學生【博客來獨家書衣版】(2022年本屋大賞第5名)', '1年減14公斤內臟脂肪的燃脂飲食法：用蛋白質脂質飲食重啟燃脂機制，打造怎麼吃都瘦的好體質']"
生活風格,娜娜媽手工皂調色╳配色專書：15年做皂經驗，教你用紅、黃、藍三種色粉，做出100款繽紛手工皂,https://www.books.com.tw/img/001/092/50/0010925006.jpg,娜娜媽,采實文化,2022/05/25,優惠價：79折 356元,"【第一本手工皂調色╳配色專書】
集結15年做皂精華，國際級專業調色認證
完．全．公．開
 
娜娜媽教授過數百場手工皂課程，深知大家在做皂過程中會遇到的各種調色難題，
本書籌備耗時三年、製...more",https://www.books.com.tw/products/0010925006?loc=P_0005_007,"['娜娜媽教你做質感透亮寶石皂：像礦石、像寶石、像水晶，30款獨一無二的透明皂', '娜娜媽的天然皂研究室【暢銷修訂版】：30款不藏私獨家配方，學會自己寫配方、調比例，做出獨一無二的專屬手工皂', '最新植物油效用指南：芳療複方、手工皂、補充營養必備的99種天然油脂!', '孟孟的好好用安心皂方【加量升級版】：活用中藥、食材、香氛做手工皂，45款呵護肌膚的溫柔提案', '植萃手工皂研究室：天然調色香，全家都好用!草圖設計X膚質選擇X精油療效X配方比例，自然設計師的39款手作沐浴提案', '做皂不NG!娜娜媽天然皂獨門祕技：正確選油、調色、打皂、晾皂，讓你做的皂好洗、好聞、好質感的180個完美關鍵【特別收錄10款人氣皂款配方+娜娜媽親自示範15支影音QR code】', '如珠寶般璀璨~絕美晶透寶石皂', '30款最想學的天然手工皂：娜娜媽不藏私的經典配方大公開【新配方修訂版】', '說故事與親子共讀：從零開始，讀出孩子的學習力與成長力', '天然系韓式質感手工皂：37種天然色粉 × 33款造型技法，韓國手工皂女王教你做出韓式清新手工皂【附10種皂款示範QRcode影片】', '純淨溫和!插畫風手工皂：以天然色粉調色，30款純色、混色、幾何圖形、繪畫圖案冷製皂', '植萃系冷製手工皂實驗室', '一次學會5大技法!達人級手工皂Guide Book：圖解分層皂‧渲染皂‧捲捲皂‧浮水皂‧蛋糕皂，最強技法30款', '【IPSA】 化妝棉_120入', '神奇中草藥手工皂：以超過70種以上的藥材製作出21款複方中草藥手工皂，輕鬆對應各種肌膚問題!', '狂熱芳療師：精油調配研究室：30種首選精油調出100項配方 防疫、療癒、保養，生生不息的精油日常', '[MUJI無印良品]自由換芯按壓滑順膠墨筆/藍黑0.5mm', '調香：做自己的香氣設計師，精油解析X感知訓練X香水調製，打造10秒讓人印象深刻的氣味魅力學', '娜娜媽×Aroma手工皂精油調香研究室：70支最適合入皂的精油、200+香氛配方、23款造型皂&短時透明皂，做出氣味迷人的專屬皂款', '【翠菓子】航空米果綜合米果禮盒(22包/盒)']"
生活風格,怪獸訓練肌力及體能訓練手冊,https://www.books.com.tw/img/001/092/45/0010924549.jpg,何立安,堡壘文化,2022/05/25,優惠價：79折 988元,"怪獸肌力及體能訓練中心總教官何立安親自撰寫
融會國內外肌力及體能專業知識
理論與實務完美結合
教練與訓練者不可錯過的實用手冊
肌力及體能訓練，經過世界各地運動教練數十年的研究、試誤與累積後...more",https://www.books.com.tw/products/0010924549?loc=P_0005_008,"['增肌×減脂·科學化飲食全書：5原則×5步驟，打造個人化菜單，有效突破健身撞牆期', '肌力訓練課程設計', '最強健身教練養成聖經', '抗老化，你需要大重量訓練：怪獸訓練總教練何立安以科學化的訓練，幫助你提升肌力、骨質、神經系統，逆轉老化', '臀肌研究所：鍛鍊人體最大發力引擎，舉更重、跳更高、衝更快，預防傷害、打造翹臀的訓練全書', '麥吉爾腰背修復手冊：脊椎生物力學權威，從評估成因，到運動方法，帶你找回核心的力量，永遠脫離背痛', '燃：最新研究，揭開身體究竟如何燃燒卡路里、減肥、保持健康!', '好教練的養成之道：從如何指導、安排課表到打造成功職涯，健身教練都該懂的105條關鍵守則', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '療癒的飲食與斷食：新時代的個人營養學', '從年輕人到銀髮族都適用的強膝訓練：一週兩小時，從喚醒肌肉、關節、結締組織到打造關鍵功能性肌力，從此遠離膝蓋疼痛及退化，擁有不易受傷、行動自如的身體', '把小錢滾成大財富：愈早看破愈早財務自由的存錢迷思', '麥克波羅伊功能性訓練聖經', '運動障礙的物理治療評估策略', '美國第一健身強人，科學化鍛鍊全書：重訓×飲食，12週有效訓練，突破身型、練出精實肌肉', '健身，也健心：傳奇教練丹約翰的人生與肌力訓練講堂', '[MUJI無印良品]筆記本.月間/32張.A5', '麥克史東阻力訓練全書：美國國家肌力與體能協會創辦人；美國奧運訓練中心總監，完整傳授教練與自主訓練的一切知識', 'ROLAND 我，和我以外的。', '【徒手健身】肌群訓練X解剖全書：150種訓練項目及運動機能解剖分析； 無須專業器材，就地鍛鍊零藉口，強力續航更持久!']"
生活風格,菜場搜神記：一個不買菜女子的市場踏查日記,https://www.books.com.tw/img/001/092/52/0010925273.jpg,蘇菜日記／蘇凌,裏路,2022/06/01,優惠價：79折 379元,"素不下廚的Y世代女子，卻日日泡在菜市場，
只為記下街心市井中，
一段段荒誕而真實的奇巧日常與神人怪事。
 
「蘇凌筆下的菜市場就是黑色喜劇版的清明上河圖。」
作家包子逸如是說。
 
「...more",https://www.books.com.tw/products/0010925273?loc=P_0005_009,"['沒有媽媽的超市(中文版隨書附贈全球獨家「兒時回憶」珍藏海報)', '村上T 我愛的那些T恤', '偽魚販指南', '剛剛好的優雅(博客來限量獨家PVC書衣+日星特製鉛字印)', '激流與倒影(平裝雲門《水月》雙面書衣)', '貓本屋 破碎型豆腐貓砂(6L)綠茶', '彼岸花盛開之島【日本原版書封】(台灣首位，芥川獎得獎作!)', '原來你什麼都不想要(博客來獨家作者親簽版)', '聯合文學 6月號/2022 第452期', '你不能再死一次【博客來獨家親簽版】', '新活水 5月號/2022第29期', '綠之歌 ─收集群風─(台日高度矚目.新銳台灣漫畫家高妍首部長篇作品，上下冊不分售)', '看得見的臺灣史.空間篇：30幅地圖裡的真實與想像【隨書贈〈十九世紀臺灣輿圖〉&〈五十萬分一臺灣蕃地圖〉經典復刻】', '異類矽谷：老派矽谷工程師不正經的深度田野踏查', '男子漢【限量作者親簽版】', '孟買春秋：史密斯夫婦樂活印度', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)', '有時混黑道，有時彈鋼琴', '心理防衛：壓抑、投射、成癮……我們用傷人傷己的方式保護自己嗎?', '創新有理：程天縱讓創新遍地開花的心法與實踐']"
生活風格,當世界只剩下貓（10年創新版）：白貓、黑貓、三花貓、橘貓、玳瑁貓……貓形貓色、貓行貓素，人生嘛，就該像貓，能懶散也能優雅。,https://www.books.com.tw/img/001/092/43/0010924375.jpg,吳毅平,任性出版,2022/05/31,優惠價：79折 363元,"★臉書粉絲追蹤人數高達140,000人
 
★作品曾被美國攝影雙月刊《BLACK&WHITE》（黑與白）收錄為封面照片
 
★高雄鹽埕埔站蜜柑站長「今年是貓年」特別企劃
 
★隨書附贈八款...more",https://www.books.com.tw/products/0010924375?loc=P_0005_010,"['身為職業拍貓人：不論如何，拍貓人生還是少了許多煩惱', 'A4習字計劃。習慣寫字。田字格。墨茶', '台灣貓物語明信片', '佛經手抄本：般若波羅蜜多心經', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '摸布想自己賺罐罐：黑山的烏鴉原創故事集(隨書附贈「Sitting in 7─11」海報)', '讀心溝通術：哈佛大學博士研究20年腦科學；掌握七技巧，立刻看穿各種人', '(3包1套)哈哈防滑環保書套 182', '世界，繼續繞著貓打轉', '超簡單!貓咪健康按握術：每天十分鐘，輕鬆按按保平安', '康寧 VISIONS 多功能防燙夾', '【EZlife】創意小禮帽矽膠酒瓶塞(2入組)', '【限量作者親簽版】噢!原來你家住這裡：臺灣野生動物的呆萌宅宅日常', '流浪基因Born to Stray', '進擊的公民 Attack on Citizens：探索社會議題的法律指南', '到里斯本尋找一隻貓', '貓咪兩相好明信片', '卡片盒筆記：最高效思考筆記術，德國教授超強秘技，促進寫作、學習與思考，使你洞見源源不斷，成為專家', '養出零壓力貓咪：臺灣首位零恐懼訓練貓咪行為諮商師，教你輕鬆養貓不崩潰!', '蛤蟆先生去看心理師(暢銷300萬冊!英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組)']"
