分類,書名,圖片網址,作者,出版社,出版日期,優惠價,內容,商品連結,也買了
輕小說,特殊傳說Ⅲ vol.05,https://www.books.com.tw/img/001/092/64/0010926439.jpg,護玄,蓋亞,2022/06/09,優惠價：79折 213元,"當「手足」如此不受控——
身為「兄長」有多麼痛的領悟！
 
異靈現世，醫療班總部遇襲，狩人部族遭到滅殺！
接下公會正式委託的妖師一族前往戰區，卻發現事情並不單純。
「...more",https://www.books.com.tw/products/0010926439?loc=P_0005_001,"['請解開故事謎底 02', '約定：案簿錄.浮生 卷三', '特殊傳說Ⅲ vol.04', '光之祭司 vol.7 隱藏在身邊的殺意', '請解開故事謎底 01', '我，精靈王，缺錢! 09 所以我開始替神明收集替身', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身III', '[MUJI 無印良品]棉棒(補充用)/200支', '小書痴的下剋上FANBOOK(5)：為了成為圖書管理員不擇手段!', '[MUJI無印良品]壓邊化妝棉/189入', 'SKIP. BEAT!華麗的挑戰 47', '古埃及文作業簿', '阿宅的戀愛太難 11完', 'LION日本獅王 晨醫生專業潔淨牙刷 單入 (顏色隨機出貨)', 'TCELL 冠元─USB3.1 128GB 無印風隨身碟(俐落黑) 俐落黑', 'SPY×FAMILY 間諜家家酒 9', '[MUJI無印良品]原色化妝棉/180入', '特殊傳說Ⅲ vol.03', '全知讀者視角03', '關於我轉生變成史萊姆這檔事 (16)']"
輕小說,小書痴的下剋上：為了成為圖書管理員不擇手段！【第五部】女神的化身III,https://www.books.com.tw/img/001/092/65/0010926549.jpg,香月美夜,皇冠,2022/06/13,優惠價：79折 253元,"「斐迪南大人，歡迎回來。」
羅潔梅茵心心念念的重逢，兩人會有怎樣的交流呢？
 
隨書附贈：「和斐迪南共進的晚餐、奉獻舞與魔法陣」雙面拉頁海報！
特別收錄：番外篇〈領地對抗戰上...more",https://www.books.com.tw/products/0010926549?loc=P_0005_002,"['小書痴的下剋上FANBOOK(5)：為了成為圖書管理員不擇手段!', '旗艦級相片沖印 4*6吋【受託代銷】', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身II', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身I', '小書痴的下剋上FANBOOK(4)：為了成為圖書管理員不擇手段!', '小書痴的下剋上 短篇集I：為了成為圖書管理員不擇手段!', '圖書館的大魔法師 02', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第四部】貴族院的自稱圖書委員IX', '小書痴的下剋上FANBOOK：為了成為圖書管理員不擇手段!', '平凡職業造就世界最強 12 (首刷限定版)', '特殊傳說Ⅲ vol.05', '魔法少年賈修 完全版 5 (首刷附錄版)', '小書痴的下剋上FANBOOK(3)：為了成為圖書管理員不擇手段!', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第四部】貴族院的自稱圖書委員VIII', '關於我轉生變成史萊姆這檔事 (16)', '小書痴的下剋上FANBOOK(2)：為了成為圖書管理員不擇手段!', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第四部】 貴族院的自稱圖書委員VI', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第四部】貴族院的自稱圖書委員VII', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第四部】貴族院的自稱圖書委員II']"
輕小說,小書痴的下剋上FANBOOK(5)：為了成為圖書管理員不擇手段！,https://www.books.com.tw/img/001/092/65/0010926529.jpg,香月美夜,皇冠,2022/06/13,優惠價：79折 236元,"關於小書痴，我還想要知道更多更多！
不可能這麼豐富的官方公式集第五彈！
 
「這本輕小說真厲害」2022年度女性部門第1名‧單行本3名！
小說全系列（含電子書）熱賣突破600萬冊！
 
滿滿彩圖
...more",https://www.books.com.tw/products/0010926529?loc=P_0005_003,"['小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身III', '旗艦級相片沖印 4*6吋【受託代銷】', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身II', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '小書痴的下剋上FANBOOK(4)：為了成為圖書管理員不擇手段!', '魔法少年賈修 完全版 5 (首刷附錄版)', '圖書館的大魔法師 02', '平凡職業造就世界最強 12 (首刷限定版)', '小書痴的下剋上FANBOOK：為了成為圖書管理員不擇手段!', '小書痴的下剋上FANBOOK(3)：為了成為圖書管理員不擇手段!', '小書痴的下剋上FANBOOK(2)：為了成為圖書管理員不擇手段!', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身I', '小書痴的下剋上 短篇集I：為了成為圖書管理員不擇手段!', '關於我轉生變成史萊姆這檔事 (16)', '飛翔的魔女 10', '特殊傳說Ⅲ vol.05', '爆肝工程師的異世界狂想曲 (20)', 'Silent Witch 沉默魔女的祕密 (1)', '轉生史萊姆日記 關於我轉生變成史萊姆這檔事 5', '【我推的孩子】(05)']"
輕小說,歡迎來到實力至上主義的教室 2年級篇 (4),https://www.books.com.tw/img/001/091/95/0010919538.jpg,衣笠彰梧,台灣角川,2022/05/26,優惠價：79折 190元,"「考慮到在我眼前的是高二的小孩，
我承認。你無庸置疑就是最高傑作。」
為期兩週的野外求生考試也到了後半場。一年級生、二年級生、三年級生，以及月城代理理事長──各種意志交錯在四季如夏...more",https://www.books.com.tw/products/0010919538?loc=P_0005_004,"['歡迎來到實力至上主義的教室 2年級篇 (3)', '歡迎來到實力至上主義的教室 2年級篇 (2)', '歡迎來到實力至上主義的教室 2年級篇 (1)', '一點都不想相親的我設下高門檻條件，結果同班同學成了婚約對象!? (2)', 'Silent Witch 沉默魔女的祕密 (1)', '繼母的拖油瓶是我的前女友 (6) 那時沒能說出口的六句話', '歡迎來到實力至上主義的教室 (11.5)', '三角的距離無限趨近零 (7)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '平凡職業造就世界最強 12 (豪華首刷限定版)', '不時輕聲地以俄語遮羞的鄰座艾莉同學 (1)', '平凡職業造就世界最強 12 (首刷限定版)', '歡迎來到實力至上主義的教室 (11)', '續.魔法科高中的劣等生 魔法人聯社 (2)', '歡迎來到實力至上主義的教室 (10)', '關於我轉生變成史萊姆這檔事 (16)', '歡迎來到實力至上主義的教室 (7)', '關於我在無意間被隔壁的天使變成廢柴這件事 5.5 (首刷限定版)', '歡迎來到實力至上主義的教室 (8)', '歡迎來到實力至上主義的教室 (9)']"
輕小說,關於我在無意間被隔壁的天使變成廢柴這件事 5.5 (首刷限定版),https://www.books.com.tw/img/001/092/54/0010925426.jpg,佐伯さん,東立,2022/06/09,優惠價：95折 238元,"過著自甘墮落獨居生活的高中生藤宮周，與外號為『天使』的校園第一美少女椎名真晝。
住處相鄰的兩人原本毫無關聯，卻在一次偶然相遇後開始產生交流，在不知不覺間變成會一起吃飯的關係。
...more",https://www.books.com.tw/products/0010925426?loc=P_0005_005,"['偵探已經，死了。(05)', '關於我在無意間被隔壁的天使變成廢柴這件事 5', '關於我在無意間被隔壁的天使變成廢柴這件事 2', '關於我在無意間被隔壁的天使變成廢柴這件事 3', '關於我在無意間被隔壁的天使變成廢柴這件事 4', '關於我在無意間被隔壁的天使變成廢柴這件事 1', '戀上換裝娃娃 9 (首刷限定版)', '歡迎來到實力至上主義的教室 2年級篇 (4)', '銀荊的告白 1 (首刷限定版)', '才女的侍從 1 在滿是高嶺之花的貴族學校暗中照顧(毫無生活自理能力的)學院第一大小姐 (首刷限定版)', '三角的距離無限趨近零 (7)', '【好消息】我的不起眼未婚妻在家有夠可愛。 (1)', '【好消息】我的不起眼未婚妻在家有夠可愛。 (2)', '一點都不想相親的我設下高門檻條件，結果同班同學成了婚約對象!? (2)', '小惡魔學妹纏上了被女友劈腿的我 (4)', 'Unnamed Memory 無名記憶III立誓永恆的盡頭', '救了遇到痴漢的S級美少女才發現是鄰座的青梅竹馬4', '小書痴的下剋上：為了成為圖書管理員不擇手段!【第五部】女神的化身III', 'Silent Witch 沉默魔女的祕密 (1)', '劣等眼的轉生魔術師 4~受虐的前勇者在未來世界從容生活~']"
輕小說,平凡職業造就世界最強 12 (豪華首刷限定版),https://www.books.com.tw/img/001/092/42/0010924219.jpg,白米良,東立,2022/05/23,優惠價：95折 627元,"世界逐漸步向終結之時，始一行人終於闖入了神域。
阻撓一行人的，是大群的神之使徒、異樣的異空間、以及神埃希德的惡意。即使如此，始等人仍然突破所有障礙，勇往直前。
在神域中的廢墟...more",https://www.books.com.tw/products/0010924219?loc=P_0005_006,"['在異世界獲得超強能力的我，在現實世界照樣無敵 7~等級提升改變人生命運~ (首刷限定版)', '平凡職業造就世界最強 零 6 (豪華首刷限定版)', '賢者大叔的異世界生活日記 (12)', '平凡職業造就世界最強 零 6 (首刷限定版)', '歡迎來到實力至上主義的教室 2年級篇 (4)', '星期一的豐滿 青版 3 (首刷限定版)', '關於我轉生變成史萊姆這檔事 (16)', '星期一的豐滿 3 (首刷限定版)', '續.魔法科高中的劣等生 魔法人聯社 (2)', '在異世界買土地開闢農場! 3', '一點都不想相親的我設下高門檻條件，結果同班同學成了婚約對象!?(2) 特裝版', '被吊銷冒險者執照的大叔，與愛女一起歌頌悠閒人生 3', '爆肝工程師的異世界狂想曲 (20)', '自稱賢者弟子的賢者(15) 特別版', '歡迎來到實力至上主義的教室 2年級篇 (4) 特裝版', '持續狩獵史萊姆三百年，不知不覺就練到LV MAX(12)', '平凡職業造就世界最強 零 5 (豪華首刷限定版)', '我們的重製人生(06)', '變大了!加油吧同期醬 1 (特裝版)', '(3包1套)哈哈傳統高透明書套 190']"
輕小說,不時輕聲地以俄語遮羞的鄰座艾莉同學 (1),https://www.books.com.tw/img/001/091/76/0010917679.jpg,燦燦SUN,台灣角川,2022/04/21,優惠價：79折 158元,"「Инаменятожеобративнимание.」
「啊？妳說什麼？」
「沒有啊？我只是說『這傢伙真的很蠢』。」
「可以別用俄語罵我嗎？」
坐在我旁邊座位的絕世銀髮美少女艾莉，輕輕露出誇耀勝...more",https://www.books.com.tw/products/0010917679?loc=P_0005_007,"['轉學後班上的清純可愛美少女，竟是小時候玩在一起的哥兒們 (2)', '轉學後班上的清純可愛美少女，竟是小時候玩在一起的哥兒們 (1)', '身為VTuber的我因為忘記關台而成了傳說 (1)', '繼母的拖油瓶是我的前女友 (6) 那時沒能說出口的六句話', '位於戀愛光譜極端的我們 (2)', '位於戀愛光譜極端的我們 (1)', '關於我在無意間被隔壁的天使變成廢柴這件事 1', '除了我之外，你不准和別人上演愛情喜劇 (1)', '魔王學院的不適任者~史上最強的魔王始祖，轉生就讀子孫們的學校~ (7)', '關於我轉生變成史萊姆這檔事 (16)', '一點都不想相親的我設下高門檻條件，結果同班同學成了婚約對象!? (1)', '【好消息】我的不起眼未婚妻在家有夠可愛。 (1)', '我永遠不會忘記，燦爛一瞬間的妳', '關於我在無意間被隔壁的天使變成廢柴這件事 2', '豬肝記得煮熟再吃 (4)', '關於我在無意間被隔壁的天使變成廢柴這件事 3', '關於我在無意間被隔壁的天使變成廢柴這件事 5', '小惡魔學妹纏上了被女友劈腿的我 (4)', '關於我在無意間被隔壁的天使變成廢柴這件事 4', 'SPY×FAMILY 間諜家家酒 2']"
輕小說,在異世界獲得超強能力的我，在現實世界照樣無敵 7～等級提升改變人生命運～ (首刷限定版),https://www.books.com.tw/img/001/092/42/0010924217.jpg,美紅,東立,2022/05/23,優惠價：95折 247元,"天上優夜討伐了意圖殲滅雷伽魯國的「死神」，一躍成為救國的大英雄，並且獲得新師父『劍聖』傳授獨門絕技，繼續在看不到盡頭的無敵之路奔馳！
 
在王星學園正在放暑假的現實世界，優夜久違...more",https://www.books.com.tw/products/0010924217?loc=P_0005_008,"['平凡職業造就世界最強 12 (豪華首刷限定版)', '賢者大叔的異世界生活日記 (12)', '被吊銷冒險者執照的大叔，與愛女一起歌頌悠閒人生 3', '在異世界獲得超強能力的我，在現實世界照樣無敵 6~等級提升改變人生命運~ (首刷附錄版)', '一點都不想相親的我設下高門檻條件，結果同班同學成了婚約對象!?(2) 特裝版', '平凡職業造就世界最強 12 (首刷限定版)', '在異世界買土地開闢農場! 3', '轉生貴族的異世界冒險錄~不知自重的眾神使徒~ 2', '重組世界Rebuild World (2) 〈上〉 舊領域連結者', '平凡職業造就世界最強 零 6 (首刷限定版)', '爆肝工程師的異世界狂想曲 (20)', '星期一的豐滿 青版 3 (首刷限定版)', '星期一的豐滿 3 (首刷限定版)', '異世界悠閒農家 (8)', '續.魔法科高中的劣等生 魔法人聯社 (2)', '歡迎來到實力至上主義的教室 2年級篇 (4)', 'SPY×FAMILY 間諜家家酒 9 (首刷限定版)', '變大了!加油吧同期醬 1 (特裝版)', '好友角色的我怎麼可能大受歡迎? 2', '持續狩獵史萊姆三百年，不知不覺就練到LV MAX(12)']"
輕小說,續．魔法科高中的劣等生 魔法人聯社 (2),https://www.books.com.tw/img/001/091/95/0010919528.jpg,佐島勤 ,台灣角川,2022/05/12,優惠價：79折 174元,"魔法人聯社的成員持續進行魔工院設立的準備工作。
達也拜訪十師族之一的八代家，邀請八代隆雷擔任學院長。
魔法資質擁有者的人權自衛──為了達成這個目的，達也腳踏實地展開行動。
在這樣...more",https://www.books.com.tw/products/0010919528?loc=P_0005_009,"['爆肝工程師的異世界狂想曲 (20)', '續.魔法科高中的劣等生 魔法人聯社 (1)', '繼母的拖油瓶是我的前女友 (6) 那時沒能說出口的六句話', '小惡魔學妹纏上了被女友劈腿的我 (4)', '關於我轉生變成史萊姆這檔事 (16)', '魔法科高中的劣等生 (32) 自我犧牲篇/畢業篇', '自稱賢者弟子的賢者(15) 特別版', '歡迎來到實力至上主義的教室 2年級篇 (4)', '平凡職業造就世界最強 12 (豪華首刷限定版)', '平凡職業造就世界最強 零 6 (首刷限定版)', '平凡職業造就世界最強 12 (首刷限定版)', 'Silent Witch 沉默魔女的祕密 (1)', 'UQ HOLDER!悠久持有者 27', 'Fate/kaleid liner 魔法少女☆伊莉雅3rei!! (12)', '星期一的豐滿 3 (首刷限定版)', '持續狩獵史萊姆三百年，不知不覺就練到LV MAX(12)', '轉生貴族的異世界冒險錄~不知自重的眾神使徒~ 2', '賢者大叔的異世界生活日記 (12)', '星期一的豐滿 青版 3 (首刷限定版)', '不時輕聲地以俄語遮羞的鄰座艾莉同學 (1)']"
輕小說,繼母的拖油瓶是我的前女友 (6) 那時沒能說出口的六句話,https://www.books.com.tw/img/001/091/95/0010919562.jpg,紙城境介,台灣角川,2022/05/12,優惠價：79折 174元,"由於爸媽再婚而成為繼兄弟姊妹的水斗與結女，其實曾經是一對戀人。
水斗與伊佐奈正在交往的謠言在校內甚囂塵上，結女卻始終無法縮短與水斗的距離……
就在這樣的初秋時節，這對兄弟姊妹同時被選...more",https://www.books.com.tw/products/0010919562?loc=P_0005_010,"['小惡魔學妹纏上了被女友劈腿的我 (4)', '續.魔法科高中的劣等生 魔法人聯社 (2)', '繼母的拖油瓶是我的前女友 (5) 世界上獨一無二的你', '不時輕聲地以俄語遮羞的鄰座艾莉同學 (1)', '歡迎來到實力至上主義的教室 2年級篇 (4)', '三角的距離無限趨近零 (7)', '繼母的拖油瓶是我的前女友 (3) 青梅竹馬還是算了吧', '繼母的拖油瓶是我的前女友 (4) 初吻宣戰', '一點都不想相親的我設下高門檻條件，結果同班同學成了婚約對象!? (2)', '爆肝工程師的異世界狂想曲 (20)', '繼母的拖油瓶是我的前女友 (1) 過去的戀情不肯結束', '星期一的豐滿 青版 3 (首刷限定版)', '繼母的拖油瓶是我的前女友 (2) 即使不再是戀人', '好友角色的我怎麼可能大受歡迎? 2', '星期一的豐滿 3 (首刷限定版)', '轉學後班上的清純可愛美少女，竟是小時候玩在一起的哥兒們 (2)', '出租女友 24 (首刷限定版)', '【我推的孩子】(05)', '堤亞穆帝國物語(05)~從斷頭台開始，公主重生後的逆轉人生~', '青梅竹馬絕對不會輸的戀愛喜劇 (6)']"
